supplier_label,exclusion_reason,spend,transactions
Redacted,"redacted personal data, not a supplier",108870420.9,36616
Greater Manchester Combined Authori,levy to another public body,72994202.66,102
HMRC CUMBERNAULD,tax,49471972.62,312
GREATER MANCHESTER SUPERANN FUND,statutory pension contributions,27804531.15,127
TEACHERS PENSIONS,statutory pension contributions,23169066.08,121
PRUDENTIAL LIFE & PENSIONS,"employee pension contributions passed through, not a purchase",833517.48,122
HMRC,tax,312282.75,14
Department For Work & Pensions,payment to a government department,124660.66,2
